Course Type,Average Rating
Lecture,4.1929788869893
Web,4.333714192708333
Seminar,4.628571428571428
Practicum,4.592857142857143
Lab,4.1935178249713605
ADLN,4.19985843365009
Corporate Ed,4.110621279761904
GPS,4.0024999999999995
Conference,3.9842105263157896
