Professor,Average Rating,Number of Courses
"Eddy, Zoe",4.9,11
"Foo, Katherine",3.199999999906277,201
"Golding, Dominic",4.3,245
"Hersh, Robert",3.9333333333333336,204
"Jiusto, J.",4.066666666666666,93
"McCauley, Stephen",4.349999999999795,53
"Shockey, Ingrid",4.366666666666667,246
"Stimmel, Carol L.",3.7266666666666666,191
"Traver, Robert",4.585714285714285,403
"Boucher, Esther",4.7171875,66
"Rivera, Angel",4.85638427734375,14
"Zizza, Keith",4.7759765625,11
"Moriarty, Brian",4.724462890625,12
"Schneider, Benjamin",3.8,1
"Galante, John",4.3875,288
"Danielski, Althea",4.547916666666667,235
"Abraham, Jon",4.72186279296875,22
"Wright, Duncan",4.000781249999999,9
"Zhuang, Qiao",2.8,1
"Chisholm, Nicholas",2.9,1
"Wei, Chaozhen",3.537109375,11
"Wu, Min",3.99482421875,11
"Blais, Marcel",4.79580078125,12
"Goulet, John",4.674131774902344,17
"Peng, Guanying",3.9812499999999997,5
"Rassias, Dina",3.5140136718750004,12
"Sanguinet, William",3.848394775390625,15
"Johnson, Michael",4.314715528767556,31
"Song, Qingshuo",4.5625,6
"Tilley, Burt",4.53359375,8
"Fehribach, Joseph",4.81964111328125,14
"Tang, Dalin",3.555859375,9
"Lui, Roger",3.9595703125,10
"Posterro, Barry",4.838079833984375,20
"Jin, Sixian",4.3,1
"Wang, Gu",4.346875,6
"Sturm, Stephan",3.46875,6
"Mangoubi, Oren Rami",4.12421875,8
"Larsen, Christopher",4.162109375,9
"Olson, Sarah",4.575,6
"Humi, Mayer",3.88505859375,12
"Bergstrom, Torbjorn",4.396716308593749,14
"Sabuncu, Ahmet",4.20760498046875,15
"Furlong-Vazquez, Cosme",2.743359375,9
"Sullivan, John",4.06201171875,11
"Stabile, Joseph",4.700366210937499,13
"Radhakrishnan, Pradeep",3.812472915649414,19
"Levey, Fiona",4.143298339843749,14
"Hou, Zhikun",3.73558349609375,15
"Wang, Yan",4.463427734375,12
"Liu, Yuxiang",4.370703125,9
"Strong, Diane",3.8,2
"Elbthal, Arthur",4.43828125,11
"Irwin, Joseph",5.0,4
"Sutton, Alan",4.75,3
"Li, Boquan",4.2125,6
"Liang, Jianyu",3.4453125,9
"Lutch, Mitchell",4.428124999674037,32
"Blumhofer, Jonathan",4.2999999999107485,245
"Hatch Moysey, Monica",4.487500000000001,13
"Rohde, Joshua",4.898632812499227,66
"Wetters, Brent",4.591015625000001,10
"Barton, Scott",4.337499999983023,115
"Buono, Paul",4.275000002421439,30
"Ibbett, David",4.559375000069849,55
"Trapp, Andrew",4.58193359375,11
"Iannacchione, Germano",3.875,5
"Kadam, Snehalata",3.7661376953124996,17
"Kashuri, Hektor",4.13701171875,12
